X_i, allowed Y_i
-12785, "[-19983; 32767]"
-12784, "[-19984; 32767]"
-12783, "[-19985; 32767]"
-12782, "[-19986; 32767]"
-12781, "[-19987; 32767]"
-12780, "[-19988; 32767]"
-12779, "[-19989; 32767]"
-12778, "[-19990; 32767]"
-12777, "[-19991; 32767]"
-12776, "[-19992; 32767]"
-12775, "[-19993; 32767]"
-12774, "[-19994; 32767]"
-12773, "[-19995; 32767]"
-12772, "[-19996; 32767]"
-12771, "[-19997; 32767]"
-12770, "[-19998; 32767]"
-12769, "[-19999; 32767]"
-12768, "[-20000; 32767]"
-12767, "[-20001; 32767]"
-12766, "[-20002; 32767]"
-12765, "[-20003; 32767]"
-12764, "[-20004; 32767]"
-12763, "[-20005; 32767]"
-12762, "[-20006; 32767]"
-12761, "[-20007; 32767]"
-12760, "[-20008; 32767]"
-12759, "[-20009; 32767]"
-12758, "[-20010; 32767]"
-12757, "[-20011; 32767]"
-12756, "[-20012; 32767]"
-12755, "[-20013; 32767]"
-12754, "[-20014; 32767]"
-12753, "[-20015; 32767]"
-12752, "[-20016; 32767]"
-12751, "[-20017; 32767]"
-12750, "[-20018; 32767]"
-12749, "[-20019; 32767]"
-12748, "[-20020; 32767]"
-12747, "[-20021; 32767]"
-12746, "[-20022; 32767]"
-12745, "[-20023; 32767]"
-12744, "[-20024; 32767]"
-12743, "[-20025; 32767]"
-12742, "[-20026; 32767]"
-12741, "[-20027; 32767]"
-12740, "[-20028; 32767]"
-12739, "[-20029; 32767]"
-12738, "[-20030; 32767]"
-12737, "[-20031; 32767]"
-12736, "[-20032; 32767]"
-12735, "[-20033; 32767]"
-12734, "[-20034; 32767]"
-12733, "[-20035; 32767]"
-12732, "[-20036; 32767]"
-12731, "[-20037; 32767]"
-12730, "[-20038; 32767]"
-12729, "[-20039; 32767]"
-12728, "[-20040; 32767]"
-12727, "[-20041; 32767]"
-12726, "[-20042; 32767]"
-12725, "[-20043; 32767]"
-12724, "[-20044; 32767]"
-12723, "[-20045; 32767]"
-12722, "[-20046; 32767]"
-12721, "[-20047; 32767]"
-12720, "[-20048; 32767]"
-12719, "[-20049; 32767]"
-12718, "[-20050; 32767]"
-12717, "[-20051; 32767]"
-12716, "[-20052; 32767]"
-12715, "[-20053; 32767]"
-12714, "[-20054; 32767]"
-12713, "[-20055; 32767]"
-12712, "[-20056; 32767]"
-12711, "[-20057; 32767]"
-12710, "[-20058; 32767]"
-12709, "[-20059; 32767]"
-12708, "[-20060; 32767]"
-12707, "[-20061; 32767]"
-12706, "[-20062; 32767]"
-12705, "[-20063; 32767]"
-12704, "[-20064; 32767]"
-12703, "[-20065; 32767]"
-12702, "[-20066; 32767]"
-12701, "[-20067; 32767]"
-12700, "[-20068; 32767]"
-12699, "[-20069; 32767]"
-12698, "[-20070; 32767]"
-12697, "[-20071; 32767]"
-12696, "[-20072; 32767]"
-12695, "[-20073; 32767]"
-12694, "[-20074; 32767]"
-12693, "[-20075; 32767]"
-12692, "[-20076; 32767]"
-12691, "[-20077; 32767]"
-12690, "[-20078; 32767]"
-12689, "[-20079; 32767]"
-12688, "[-20080; 32767]"
-12687, "[-20081; 32767]"
-12686, "[-20082; 32767]"
-12685, "[-20083; 32767]"
-12684, "[-20084; 32767]"
-12683, "[-20085; 32767]"
-12682, "[-20086; 32767]"
-12681, "[-20087; 32767]"
-12680, "[-20088; 32767]"
-12679, "[-20089; 32767]"
-12678, "[-20090; 32767]"
-12677, "[-20091; 32767]"
-12676, "[-20092; 32767]"
-12675, "[-20093; 32767]"
-12674, "[-20094; 32767]"
-12673, "[-20095; 32767]"
-12672, "[-20096; 32767]"
-12671, "[-20097; 32767]"
-12670, "[-20098; 32767]"
-12669, "[-20099; 32767]"
-12668, "[-20100; 32767]"
-12667, "[-20101; 32767]"
-12666, "[-20102; 32767]"
-12665, "[-20103; 32767]"
-12664, "[-20104; 32767]"
-12663, "[-20105; 32767]"
-12662, "[-20106; 32767]"
-12661, "[-20107; 32767]"
-12660, "[-20108; 32767]"
-12659, "[-20109; 32767]"
-12658, "[-20110; 32767]"
-12657, "[-20111; 32767]"
-12656, "[-20112; 32767]"
-12655, "[-20113; 32767]"
-12654, "[-20114; 32767]"
-12653, "[-20115; 32767]"
-12652, "[-20116; 32767]"
-12651, "[-20117; 32767]"
-12650, "[-20118; 32767]"
-12649, "[-20119; 32767]"
-12648, "[-20120; 32767]"
-12647, "[-20121; 32767]"
-12646, "[-20122; 32767]"
-12645, "[-20123; 32767]"
-12644, "[-20124; 32767]"
-12643, "[-20125; 32767]"
-12642, "[-20126; 32767]"
-12641, "[-20127; 32767]"
-12640, "[-20128; 32767]"
-12639, "[-20129; 32767]"
-12638, "[-20130; 32767]"
-12637, "[-20131; 32767]"
-12636, "[-20132; 32767]"
-12635, "[-20133; 32767]"
-12634, "[-20134; 32767]"
-12633, "[-20135; 32767]"
-12632, "[-20136; 32767]"
-12631, "[-20137; 32767]"
-12630, "[-20138; 32767]"
-12629, "[-20139; 32767]"
-12628, "[-20140; 32767]"
-12627, "[-20141; 32767]"
-12626, "[-20142; 32767]"
-12625, "[-20143; 32767]"
-12624, "[-20144; 32767]"
-12623, "[-20145; 32767]"
-12622, "[-20146; 32767]"
-12621, "[-20147; 32767]"
-12620, "[-20148; 32767]"
-12619, "[-20149; 32767]"
-12618, "[-20150; 32767]"
-12617, "[-20151; 32767]"
-12616, "[-20152; 32767]"
-12615, "[-20153; 32767]"
-12614, "[-20154; 32767]"
-12613, "[-20155; 32767]"
-12612, "[-20156; 32767]"
-12611, "[-20157; 32767]"
-12610, "[-20158; 32767]"
-12609, "[-20159; 32767]"
-12608, "[-20160; 32767]"
-12607, "[-20161; 32767]"
-12606, "[-20162; 32767]"
-12605, "[-20163; 32767]"
-12604, "[-20164; 32767]"
-12603, "[-20165; 32767]"
-12602, "[-20166; 32767]"
-12601, "[-20167; 32767]"
-12600, "[-20168; 32767]"
-12599, "[-20169; 32767]"
-12598, "[-20170; 32767]"
-12597, "[-20171; 32767]"
-12596, "[-20172; 32767]"
-12595, "[-20173; 32767]"
-12594, "[-20174; 32767]"
-12593, "[-20175; 32767]"
-12592, "[-20176; 32767]"
-12591, "[-20177; 32767]"
-12590, "[-20178; 32767]"
-12589, "[-20179; 32767]"
-12588, "[-20180; 32767]"
-12587, "[-20181; 32767]"
-12586, "[-20182; 32767]"
-12585, "[-20183; 32767]"
-12584, "[-20184; 32767]"
-12583, "[-20185; 32767]"
-12582, "[-20186; 32767]"
-12581, "[-20187; 32767]"
-12580, "[-20188; 32767]"
-12579, "[-20189; 32767]"
-12578, "[-20190; 32767]"
-12577, "[-20191; 32767]"
-12576, "[-20192; 32767]"
-12575, "[-20193; 32767]"
-12574, "[-20194; 32767]"
-12573, "[-20195; 32767]"
-12572, "[-20196; 32767]"
-12571, "[-20197; 32767]"
-12570, "[-20198; 32767]"
-12569, "[-20199; 32767]"
-12568, "[-20200; 32767]"
-12567, "[-20201; 32767]"
-12566, "[-20202; 32767]"
-12565, "[-20203; 32767]"
-12564, "[-20204; 32767]"
-12563, "[-20205; 32767]"
-12562, "[-20206; 32767]"
-12561, "[-20207; 32767]"
-12560, "[-20208; 32767]"
-12559, "[-20209; 32767]"
-12558, "[-20210; 32767]"
-12557, "[-20211; 32767]"
-12556, "[-20212; 32767]"
-12555, "[-20213; 32767]"
-12554, "[-20214; 32767]"
-12553, "[-20215; 32767]"
-12552, "[-20216; 32767]"
-12551, "[-20217; 32767]"
-12550, "[-20218; 32767]"
-12549, "[-20219; 32767]"
-12548, "[-20220; 32767]"
-12547, "[-20221; 32767]"
-12546, "[-20222; 32767]"
-12545, "[-20223; 32767]"
-12544, "[-20224; 32767]"
-12543, "[-20225; 32767]"
-12542, "[-20226; 32767]"
-12541, "[-20227; 32767]"
-12540, "[-20228; 32767]"
-12539, "[-20229; 32767]"
-12538, "[-20230; 32767]"
-12537, "[-20231; 32767]"
-12536, "[-20232; 32767]"
-12535, "[-20233; 32767]"
-12534, "[-20234; 32767]"
-12533, "[-20235; 32767]"
-12532, "[-20236; 32767]"
-12531, "[-20237; 32767]"
-12530, "[-20238; 32767]"
-12529, "[-20239; 32767]"
-12528, "[-20240; 32767]"
-12527, "[-20241; 32767]"
-12526, "[-20242; 32767]"
-12525, "[-20243; 32767]"
-12524, "[-20244; 32767]"
-12523, "[-20245; 32767]"
-12522, "[-20246; 32767]"
-12521, "[-20247; 32767]"
-12520, "[-20248; 32767]"
-12519, "[-20249; 32767]"
-12518, "[-20250; 32767]"
-12517, "[-20251; 32767]"
-12516, "[-20252; 32767]"
-12515, "[-20253; 32767]"
-12514, "[-20254; 32767]"
-12513, "[-20255; 32767]"
-12512, "[-20256; 32767]"
-12511, "[-20257; 32767]"
-12510, "[-20258; 32767]"
-12509, "[-20259; 32767]"
-12508, "[-20260; 32767]"
-12507, "[-20261; 32767]"
-12506, "[-20262; 32767]"
-12505, "[-20263; 32767]"
-12504, "[-20264; 32767]"
-12503, "[-20265; 32767]"
-12502, "[-20266; 32767]"
-12501, "[-20267; 32767]"
-12500, "[-20268; 32767]"
-12499, "[-20269; 32767]"
-12498, "[-20270; 32767]"
-12497, "[-20271; 32767]"
-12496, "[-20272; 32767]"
-12495, "[-20273; 32767]"
-12494, "[-20274; 32767]"
-12493, "[-20275; 32767]"
-12492, "[-20276; 32767]"
-12491, "[-20277; 32767]"
-12490, "[-20278; 32767]"
-12489, "[-20279; 32767]"
-12488, "[-20280; 32767]"
-12487, "[-20281; 32767]"
-12486, "[-20282; 32767]"
-12485, "[-20283; 32767]"
-12484, "[-20284; 32767]"
-12483, "[-20285; 32767]"
-12482, "[-20286; 32767]"
-12481, "[-20287; 32767]"
-12480, "[-20288; 32767]"
-12479, "[-20289; 32767]"
-12478, "[-20290; 32767]"
-12477, "[-20291; 32767]"
-12476, "[-20292; 32767]"
-12475, "[-20293; 32767]"
-12474, "[-20294; 32767]"
-12473, "[-20295; 32767]"
-12472, "[-20296; 32767]"
-12471, "[-20297; 32767]"
-12470, "[-20298; 32767]"
-12469, "[-20299; 32767]"
-12468, "[-20300; 32767]"
-12467, "[-20301; 32767]"
-12466, "[-20302; 32767]"
-12465, "[-20303; 32767]"
-12464, "[-20304; 32767]"
-12463, "[-20305; 32767]"
-12462, "[-20306; 32767]"
-12461, "[-20307; 32767]"
-12460, "[-20308; 32767]"
-12459, "[-20309; 32767]"
-12458, "[-20310; 32767]"
-12457, "[-20311; 32767]"
-12456, "[-20312; 32767]"
-12455, "[-20313; 32767]"
-12454, "[-20314; 32767]"
-12453, "[-20315; 32767]"
-12452, "[-20316; 32767]"
-12451, "[-20317; 32767]"
-12450, "[-20318; 32767]"
-12449, "[-20319; 32767]"
-12448, "[-20320; 32767]"
-12447, "[-20321; 32767]"
-12446, "[-20322; 32767]"
-12445, "[-20323; 32767]"
-12444, "[-20324; 32767]"
-12443, "[-20325; 32767]"
-12442, "[-20326; 32767]"
-12441, "[-20327; 32767]"
-12440, "[-20328; 32767]"
-12439, "[-20329; 32767]"
-12438, "[-20330; 32767]"
-12437, "[-20331; 32767]"
-12436, "[-20332; 32767]"
-12435, "[-20333; 32767]"
-12434, "[-20334; 32767]"
-12433, "[-20335; 32767]"
-12432, "[-20336; 32767]"
-12431, "[-20337; 32767]"
-12430, "[-20338; 32767]"
-12429, "[-20339; 32767]"
-12428, "[-20340; 32767]"
-12427, "[-20341; 32767]"
-12426, "[-20342; 32767]"
-12425, "[-20343; 32767]"
-12424, "[-20344; 32767]"
-12423, "[-20345; 32767]"
-12422, "[-20346; 32767]"
-12421, "[-20347; 32767]"
-12420, "[-20348; 32767]"
-12419, "[-20349; 32767]"
-12418, "[-20350; 32767]"
-12417, "[-20351; 32767]"
-12416, "[-20352; 32767]"
-12415, "[-20353; 32767]"
-12414, "[-20354; 32767]"
-12413, "[-20355; 32767]"
-12412, "[-20356; 32767]"
-12411, "[-20357; 32767]"
-12410, "[-20358; 32767]"
-12409, "[-20359; 32767]"
-12408, "[-20360; 32767]"
-12407, "[-20361; 32767]"
-12406, "[-20362; 32767]"
-12405, "[-20363; 32767]"
-12404, "[-20364; 32767]"
-12403, "[-20365; 32767]"
-12402, "[-20366; 32767]"
-12401, "[-20367; 32767]"
-12400, "[-20368; 32767]"
-12399, "[-20369; 32767]"
-12398, "[-20370; 32767]"
-12397, "[-20371; 32767]"
-12396, "[-20372; 32767]"
-12395, "[-20373; 32767]"
-12394, "[-20374; 32767]"
-12393, "[-20375; 32767]"
-12392, "[-20376; 32767]"
-12391, "[-20377; 32767]"
-12390, "[-20378; 32767]"
-12389, "[-20379; 32767]"
-12388, "[-20380; 32767]"
-12387, "[-20381; 32767]"
-12386, "[-20382; 32767]"
-12385, "[-20383; 32767]"
-12384, "[-20384; 32767]"
-12383, "[-20385; 32767]"
-12382, "[-20386; 32767]"
-12381, "[-20387; 32767]"
-12380, "[-20388; 32767]"
-12379, "[-20389; 32767]"
-12378, "[-20390; 32767]"
-12377, "[-20391; 32767]"
-12376, "[-20392; 32767]"
-12375, "[-20393; 32767]"
-12374, "[-20394; 32767]"
-12373, "[-20395; 32767]"
-12372, "[-20396; 32767]"
-12371, "[-20397; 32767]"
-12370, "[-20398; 32767]"
-12369, "[-20399; 32767]"
-12368, "[-20400; 32767]"
-12367, "[-20401; 32767]"
-12366, "[-20402; 32767]"
-12365, "[-20403; 32767]"
-12364, "[-20404; 32767]"
-12363, "[-20405; 32767]"
-12362, "[-20406; 32767]"
-12361, "[-20407; 32767]"
-12360, "[-20408; 32767]"
-12359, "[-20409; 32767]"
-12358, "[-20410; 32767]"
-12357, "[-20411; 32767]"
-12356, "[-20412; 32767]"
-12355, "[-20413; 32767]"
-12354, "[-20414; 32767]"
-12353, "[-20415; 32767]"
-12352, "[-20416; 32767]"
-12351, "[-20417; 32767]"
-12350, "[-20418; 32767]"
-12349, "[-20419; 32767]"
-12348, "[-20420; 32767]"
-12347, "[-20421; 32767]"
-12346, "[-20422; 32767]"
-12345, "[-20423; 32767]"
-12344, "[-20424; 32767]"
-12343, "[-20425; 32767]"
-12342, "[-20426; 32767]"
-12341, "[-20427; 32767]"
-12340, "[-20428; 32767]"
-12339, "[-20429; 32767]"
-12338, "[-20430; 32767]"
-12337, "[-20431; 32767]"
-12336, "[-20432; 32767]"
-12335, "[-20433; 32767]"
-12334, "[-20434; 32767]"
-12333, "[-20435; 32767]"
-12332, "[-20436; 32767]"
-12331, "[-20437; 32767]"
-12330, "[-20438; 32767]"
-12329, "[-20439; 32767]"
-12328, "[-20440; 32767]"
-12327, "[-20441; 32767]"
-12326, "[-20442; 32767]"
-12325, "[-20443; 32767]"
-12324, "[-20444; 32767]"
-12323, "[-20445; 32767]"
-12322, "[-20446; 32767]"
-12321, "[-20447; 32767]"
-12320, "[-20448; 32767]"
-12319, "[-20449; 32767]"
-12318, "[-20450; 32767]"
-12317, "[-20451; 32767]"
-12316, "[-20452; 32767]"
-12315, "[-20453; 32767]"
-12314, "[-20454; 32767]"
-12313, "[-20455; 32767]"
-12312, "[-20456; 32767]"
-12311, "[-20457; 32767]"
-12310, "[-20458; 32767]"
-12309, "[-20459; 32767]"
-12308, "[-20460; 32767]"
-12307, "[-20461; 32767]"
-12306, "[-20462; 32767]"
-12305, "[-20463; 32767]"
-12304, "[-20464; 32767]"
-12303, "[-20465; 32767]"
-12302, "[-20466; 32767]"
-12301, "[-20467; 32767]"
-12300, "[-20468; 32767]"
-12299, "[-20469; 32767]"
-12298, "[-20470; 32767]"
-12297, "[-20471; 32767]"
-12296, "[-20472; 32767]"
-12295, "[-20473; 32767]"
-12294, "[-20474; 32767]"
-12293, "[-20475; 32767]"
-12292, "[-20476; 32767]"
-12291, "[-20477; 32767]"
-12290, "[-20478; 32767]"
-12289, "[-20479; 32767]"
-12288, "[-20480; 32767]"
-12287, "[-20481; 32767]"
-12286, "[-20482; 32767]"
-12285, "[-20483; 32767]"
-12284, "[-20484; 32767]"
-12283, "[-20485; 32767]"
-12282, "[-20486; 32767]"
-12281, "[-20487; 32767]"
-12280, "[-20488; 32767]"
-12279, "[-20489; 32767]"
-12278, "[-20490; 32767]"
-12277, "[-20491; 32767]"
-12276, "[-20492; 32767]"
-12275, "[-20493; 32767]"
-12274, "[-20494; 32767]"
-12273, "[-20495; 32767]"
-12272, "[-20496; 32767]"
-12271, "[-20497; 32767]"
-12270, "[-20498; 32767]"
-12269, "[-20499; 32767]"
-12268, "[-20500; 32767]"
-12267, "[-20501; 32767]"
-12266, "[-20502; 32767]"
-12265, "[-20503; 32767]"
-12264, "[-20504; 32767]"
-12263, "[-20505; 32767]"
-12262, "[-20506; 32767]"
-12261, "[-20507; 32767]"
-12260, "[-20508; 32767]"
-12259, "[-20509; 32767]"
-12258, "[-20510; 32767]"
-12257, "[-20511; 32767]"
-12256, "[-20512; 32767]"
-12255, "[-20513; 32767]"
-12254, "[-20514; 32767]"
-12253, "[-20515; 32767]"
-12252, "[-20516; 32767]"
-12251, "[-20517; 32767]"
-12250, "[-20518; 32767]"
-12249, "[-20519; 32767]"
-12248, "[-20520; 32767]"
-12247, "[-20521; 32767]"
-12246, "[-20522; 32767]"
-12245, "[-20523; 32767]"
-12244, "[-20524; 32767]"
-12243, "[-20525; 32767]"
-12242, "[-20526; 32767]"
-12241, "[-20527; 32767]"
-12240, "[-20528; 32767]"
-12239, "[-20529; 32767]"
-12238, "[-20530; 32767]"
-12237, "[-20531; 32767]"
-12236, "[-20532; 32767]"
-12235, "[-20533; 32767]"
-12234, "[-20534; 32767]"
-12233, "[-20535; 32767]"
-12232, "[-20536; 32767]"
-12231, "[-20537; 32767]"
-12230, "[-20538; 32767]"
-12229, "[-20539; 32767]"
-12228, "[-20540; 32767]"
-12227, "[-20541; 32767]"
-12226, "[-20542; 32767]"
-12225, "[-20543; 32767]"
-12224, "[-20544; 32767]"
-12223, "[-20545; 32767]"
-12222, "[-20546; 32767]"
-12221, "[-20547; 32767]"
-12220, "[-20548; 32767]"
-12219, "[-20549; 32767]"
-12218, "[-20550; 32767]"
-12217, "[-20551; 32767]"
-12216, "[-20552; 32767]"
-12215, "[-20553; 32767]"
-12214, "[-20554; 32767]"
-12213, "[-20555; 32767]"
-12212, "[-20556; 32767]"
-12211, "[-20557; 32767]"
-12210, "[-20558; 32767]"
-12209, "[-20559; 32767]"
-12208, "[-20560; 32767]"
-12207, "[-20561; 32767]"
-12206, "[-20562; 32767]"
-12205, "[-20563; 32767]"
-12204, "[-20564; 32767]"
-12203, "[-20565; 32767]"
-12202, "[-20566; 32767]"
-12201, "[-20567; 32767]"
-12200, "[-20568; 32767]"
-12199, "[-20569; 32767]"
-12198, "[-20570; 32767]"
-12197, "[-20571; 32767]"
-12196, "[-20572; 32767]"
-12195, "[-20573; 32767]"
-12194, "[-20574; 32767]"
-12193, "[-20575; 32767]"
-12192, "[-20576; 32767]"
-12191, "[-20577; 32767]"
-12190, "[-20578; 32767]"
-12189, "[-20579; 32767]"
-12188, "[-20580; 32767]"
-12187, "[-20581; 32767]"
-12186, "[-20582; 32767]"
-12185, "[-20583; 32767]"
-12184, "[-20584; 32767]"
-12183, "[-20585; 32767]"
-12182, "[-20586; 32767]"
-12181, "[-20587; 32767]"
-12180, "[-20588; 32767]"
-12179, "[-20589; 32767]"
-12178, "[-20590; 32767]"
-12177, "[-20591; 32767]"
-12176, "[-20592; 32767]"
-12175, "[-20593; 32767]"
-12174, "[-20594; 32767]"
-12173, "[-20595; 32767]"
-12172, "[-20596; 32767]"
-12171, "[-20597; 32767]"
-12170, "[-20598; 32767]"
-12169, "[-20599; 32767]"
-12168, "[-20600; 32767]"
-12167, "[-20601; 32767]"
-12166, "[-20602; 32767]"
-12165, "[-20603; 32767]"
-12164, "[-20604; 32767]"
-12163, "[-20605; 32767]"
-12162, "[-20606; 32767]"
-12161, "[-20607; 32767]"
-12160, "[-20608; 32767]"
-12159, "[-20609; 32767]"
-12158, "[-20610; 32767]"
-12157, "[-20611; 32767]"
-12156, "[-20612; 32767]"
-12155, "[-20613; 32767]"
-12154, "[-20614; 32767]"
-12153, "[-20615; 32767]"
-12152, "[-20616; 32767]"
-12151, "[-20617; 32767]"
-12150, "[-20618; 32767]"
-12149, "[-20619; 32767]"
-12148, "[-20620; 32767]"
-12147, "[-20621; 32767]"
-12146, "[-20622; 32767]"
-12145, "[-20623; 32767]"
-12144, "[-20624; 32767]"
-12143, "[-20625; 32767]"
-12142, "[-20626; 32767]"
-12141, "[-20627; 32767]"
-12140, "[-20628; 32767]"
-12139, "[-20629; 32767]"
-12138, "[-20630; 32767]"
-12137, "[-20631; 32767]"
-12136, "[-20632; 32767]"
-12135, "[-20633; 32767]"
-12134, "[-20634; 32767]"
-12133, "[-20635; 32767]"
-12132, "[-20636; 32767]"
-12131, "[-20637; 32767]"
-12130, "[-20638; 32767]"
-12129, "[-20639; 32767]"
-12128, "[-20640; 32767]"
-12127, "[-20641; 32767]"
-12126, "[-20642; 32767]"
-12125, "[-20643; 32767]"
-12124, "[-20644; 32767]"
-12123, "[-20645; 32767]"
-12122, "[-20646; 32767]"
-12121, "[-20647; 32767]"
-12120, "[-20648; 32767]"
-12119, "[-20649; 32767]"
-12118, "[-20650; 32767]"
-12117, "[-20651; 32767]"
-12116, "[-20652; 32767]"
-12115, "[-20653; 32767]"
-12114, "[-20654; 32767]"
-12113, "[-20655; 32767]"
-12112, "[-20656; 32767]"
-12111, "[-20657; 32767]"
-12110, "[-20658; 32767]"
-12109, "[-20659; 32767]"
-12108, "[-20660; 32767]"
-12107, "[-20661; 32767]"
-12106, "[-20662; 32767]"
-12105, "[-20663; 32767]"
-12104, "[-20664; 32767]"
-12103, "[-20665; 32767]"
-12102, "[-20666; 32767]"
-12101, "[-20667; 32767]"
-12100, "[-20668; 32767]"
-12099, "[-20669; 32767]"
-12098, "[-20670; 32767]"
-12097, "[-20671; 32767]"
-12096, "[-20672; 32767]"
-12095, "[-20673; 32767]"
-12094, "[-20674; 32767]"
-12093, "[-20675; 32767]"
-12092, "[-20676; 32767]"
-12091, "[-20677; 32767]"
-12090, "[-20678; 32767]"
-12089, "[-20679; 32767]"
-12088, "[-20680; 32767]"
-12087, "[-20681; 32767]"
-12086, "[-20682; 32767]"
-12085, "[-20683; 32767]"
-12084, "[-20684; 32767]"
-12083, "[-20685; 32767]"
-12082, "[-20686; 32767]"
-12081, "[-20687; 32767]"
-12080, "[-20688; 32767]"
-12079, "[-20689; 32767]"
-12078, "[-20690; 32767]"
-12077, "[-20691; 32767]"
-12076, "[-20692; 32767]"
-12075, "[-20693; 32767]"
-12074, "[-20694; 32767]"
-12073, "[-20695; 32767]"
-12072, "[-20696; 32767]"
-12071, "[-20697; 32767]"
-12070, "[-20698; 32767]"
-12069, "[-20699; 32767]"
-12068, "[-20700; 32767]"
-12067, "[-20701; 32767]"
-12066, "[-20702; 32767]"
-12065, "[-20703; 32767]"
-12064, "[-20704; 32767]"
-12063, "[-20705; 32767]"
-12062, "[-20706; 32767]"
-12061, "[-20707; 32767]"
-12060, "[-20708; 32767]"
-12059, "[-20709; 32767]"
-12058, "[-20710; 32767]"
-12057, "[-20711; 32767]"
-12056, "[-20712; 32767]"
-12055, "[-20713; 32767]"
-12054, "[-20714; 32767]"
-12053, "[-20715; 32767]"
-12052, "[-20716; 32767]"
-12051, "[-20717; 32767]"
-12050, "[-20718; 32767]"
-12049, "[-20719; 32767]"
-12048, "[-20720; 32767]"
-12047, "[-20721; 32767]"
-12046, "[-20722; 32767]"
-12045, "[-20723; 32767]"
-12044, "[-20724; 32767]"
-12043, "[-20725; 32767]"
-12042, "[-20726; 32767]"
-12041, "[-20727; 32767]"
-12040, "[-20728; 32767]"
-12039, "[-20729; 32767]"
-12038, "[-20730; 32767]"
-12037, "[-20731; 32767]"
-12036, "[-20732; 32767]"
-12035, "[-20733; 32767]"
-12034, "[-20734; 32767]"
-12033, "[-20735; 32767]"
-12032, "[-20736; 32767]"
-12031, "[-20737; 32767]"
-12030, "[-20738; 32767]"
-12029, "[-20739; 32767]"
-12028, "[-20740; 32767]"
-12027, "[-20741; 32767]"
-12026, "[-20742; 32767]"
-12025, "[-20743; 32767]"
-12024, "[-20744; 32767]"
-12023, "[-20745; 32767]"
-12022, "[-20746; 32767]"
-12021, "[-20747; 32767]"
-12020, "[-20748; 32767]"
-12019, "[-20749; 32767]"
-12018, "[-20750; 32767]"
-12017, "[-20751; 32767]"
-12016, "[-20752; 32767]"
-12015, "[-20753; 32767]"
-12014, "[-20754; 32767]"
-12013, "[-20755; 32767]"
-12012, "[-20756; 32767]"
-12011, "[-20757; 32767]"
-12010, "[-20758; 32767]"
-12009, "[-20759; 32767]"
-12008, "[-20760; 32767]"
-12007, "[-20761; 32767]"
-12006, "[-20762; 32767]"
-12005, "[-20763; 32767]"
-12004, "[-20764; 32767]"
-12003, "[-20765; 32767]"
-12002, "[-20766; 32767]"
-12001, "[-20767; 32767]"
-12000, "[-20768; 32767]"
-11999, "[-20769; 32767]"
-11998, "[-20770; 32767]"
-11997, "[-20771; 32767]"
-11996, "[-20772; 32767]"
-11995, "[-20773; 32767]"
-11994, "[-20774; 32767]"
-11993, "[-20775; 32767]"
-11992, "[-20776; 32767]"
-11991, "[-20777; 32767]"
-11990, "[-20778; 32767]"
-11989, "[-20779; 32767]"
-11988, "[-20780; 32767]"
-11987, "[-20781; 32767]"
-11986, "[-20782; 32767]"
-11985, "[-20783; 32767]"
-11984, "[-20784; 32767]"
-11983, "[-20785; 32767]"
-11982, "[-20786; 32767]"
-11981, "[-20787; 32767]"
-11980, "[-20788; 32767]"
-11979, "[-20789; 32767]"
-11978, "[-20790; 32767]"
-11977, "[-20791; 32767]"
-11976, "[-20792; 32767]"
-11975, "[-20793; 32767]"
-11974, "[-20794; 32767]"
-11973, "[-20795; 32767]"
-11972, "[-20796; 32767]"
-11971, "[-20797; 32767]"
-11970, "[-20798; 32767]"
-11969, "[-20799; 32767]"
-11968, "[-20800; 32767]"
-11967, "[-20801; 32767]"
-11966, "[-20802; 32767]"
-11965, "[-20803; 32767]"
-11964, "[-20804; 32767]"
-11963, "[-20805; 32767]"
-11962, "[-20806; 32767]"
-11961, "[-20807; 32767]"
-11960, "[-20808; 32767]"
-11959, "[-20809; 32767]"
-11958, "[-20810; 32767]"
-11957, "[-20811; 32767]"
-11956, "[-20812; 32767]"
-11955, "[-20813; 32767]"
-11954, "[-20814; 32767]"
-11953, "[-20815; 32767]"
-11952, "[-20816; 32767]"
-11951, "[-20817; 32767]"
-11950, "[-20818; 32767]"
-11949, "[-20819; 32767]"
-11948, "[-20820; 32767]"
-11947, "[-20821; 32767]"
-11946, "[-20822; 32767]"
-11945, "[-20823; 32767]"
-11944, "[-20824; 32767]"
-11943, "[-20825; 32767]"
-11942, "[-20826; 32767]"
-11941, "[-20827; 32767]"
-11940, "[-20828; 32767]"
-11939, "[-20829; 32767]"
-11938, "[-20830; 32767]"
-11937, "[-20831; 32767]"
-11936, "[-20832; 32767]"
-11935, "[-20833; 32767]"
-11934, "[-20834; 32767]"
-11933, "[-20835; 32767]"
-11932, "[-20836; 32767]"
-11931, "[-20837; 32767]"
-11930, "[-20838; 32767]"
-11929, "[-20839; 32767]"
-11928, "[-20840; 32767]"
-11927, "[-20841; 32767]"
-11926, "[-20842; 32767]"
-11925, "[-20843; 32767]"
-11924, "[-20844; 32767]"
-11923, "[-20845; 32767]"
-11922, "[-20846; 32767]"
-11921, "[-20847; 32767]"
-11920, "[-20848; 32767]"
-11919, "[-20849; 32767]"
-11918, "[-20850; 32767]"
-11917, "[-20851; 32767]"
-11916, "[-20852; 32767]"
-11915, "[-20853; 32767]"
-11914, "[-20854; 32767]"
-11913, "[-20855; 32767]"
-11912, "[-20856; 32767]"
