X_i, allowed Y_i
-32583, "[-185; 32767]"
-32582, "[-186; 32767]"
-32581, "[-187; 32767]"
-32580, "[-188; 32767]"
-32579, "[-189; 32767]"
-32578, "[-190; 32767]"
-32577, "[-191; 32767]"
-32576, "[-192; 32767]"
-32575, "[-193; 32767]"
-32574, "[-194; 32767]"
-32573, "[-195; 32767]"
-32572, "[-196; 32767]"
-32571, "[-197; 32767]"
-32570, "[-198; 32767]"
-32569, "[-199; 32767]"
-32568, "[-200; 32767]"
-32567, "[-201; 32767]"
-32566, "[-202; 32767]"
-32565, "[-203; 32767]"
-32564, "[-204; 32767]"
-32563, "[-205; 32767]"
-32562, "[-206; 32767]"
-32561, "[-207; 32767]"
-32560, "[-208; 32767]"
-32559, "[-209; 32767]"
-32558, "[-210; 32767]"
-32557, "[-211; 32767]"
-32556, "[-212; 32767]"
-32555, "[-213; 32767]"
-32554, "[-214; 32767]"
-32553, "[-215; 32767]"
-32552, "[-216; 32767]"
-32551, "[-217; 32767]"
-32550, "[-218; 32767]"
-32549, "[-219; 32767]"
-32548, "[-220; 32767]"
-32547, "[-221; 32767]"
-32546, "[-222; 32767]"
-32545, "[-223; 32767]"
-32544, "[-224; 32767]"
-32543, "[-225; 32767]"
-32542, "[-226; 32767]"
-32541, "[-227; 32767]"
-32540, "[-228; 32767]"
-32539, "[-229; 32767]"
-32538, "[-230; 32767]"
-32537, "[-231; 32767]"
-32536, "[-232; 32767]"
-32535, "[-233; 32767]"
-32534, "[-234; 32767]"
-32533, "[-235; 32767]"
-32532, "[-236; 32767]"
-32531, "[-237; 32767]"
-32530, "[-238; 32767]"
-32529, "[-239; 32767]"
-32528, "[-240; 32767]"
-32527, "[-241; 32767]"
-32526, "[-242; 32767]"
-32525, "[-243; 32767]"
-32524, "[-244; 32767]"
-32523, "[-245; 32767]"
-32522, "[-246; 32767]"
-32521, "[-247; 32767]"
-32520, "[-248; 32767]"
-32519, "[-249; 32767]"
-32518, "[-250; 32767]"
-32517, "[-251; 32767]"
-32516, "[-252; 32767]"
-32515, "[-253; 32767]"
-32514, "[-254; 32767]"
-32513, "[-255; 32767]"
-32512, "[-256; 32767]"
-32511, "[-257; 32767]"
-32510, "[-258; 32767]"
-32509, "[-259; 32767]"
-32508, "[-260; 32767]"
-32507, "[-261; 32767]"
-32506, "[-262; 32767]"
-32505, "[-263; 32767]"
-32504, "[-264; 32767]"
-32503, "[-265; 32767]"
-32502, "[-266; 32767]"
-32501, "[-267; 32767]"
-32500, "[-268; 32767]"
-32499, "[-269; 32767]"
-32498, "[-270; 32767]"
-32497, "[-271; 32767]"
-32496, "[-272; 32767]"
-32495, "[-273; 32767]"
-32494, "[-274; 32767]"
-32493, "[-275; 32767]"
-32492, "[-276; 32767]"
-32491, "[-277; 32767]"
-32490, "[-278; 32767]"
-32489, "[-279; 32767]"
-32488, "[-280; 32767]"
-32487, "[-281; 32767]"
-32486, "[-282; 32767]"
-32485, "[-283; 32767]"
-32484, "[-284; 32767]"
-32483, "[-285; 32767]"
-32482, "[-286; 32767]"
-32481, "[-287; 32767]"
-32480, "[-288; 32767]"
-32479, "[-289; 32767]"
-32478, "[-290; 32767]"
-32477, "[-291; 32767]"
-32476, "[-292; 32767]"
-32475, "[-293; 32767]"
-32474, "[-294; 32767]"
-32473, "[-295; 32767]"
-32472, "[-296; 32767]"
-32471, "[-297; 32767]"
-32470, "[-298; 32767]"
-32469, "[-299; 32767]"
-32468, "[-300; 32767]"
-32467, "[-301; 32767]"
-32466, "[-302; 32767]"
-32465, "[-303; 32767]"
-32464, "[-304; 32767]"
-32463, "[-305; 32767]"
-32462, "[-306; 32767]"
-32461, "[-307; 32767]"
-32460, "[-308; 32767]"
-32459, "[-309; 32767]"
-32458, "[-310; 32767]"
-32457, "[-311; 32767]"
-32456, "[-312; 32767]"
-32455, "[-313; 32767]"
-32454, "[-314; 32767]"
-32453, "[-315; 32767]"
-32452, "[-316; 32767]"
-32451, "[-317; 32767]"
-32450, "[-318; 32767]"
-32449, "[-319; 32767]"
-32448, "[-320; 32767]"
-32447, "[-321; 32767]"
-32446, "[-322; 32767]"
-32445, "[-323; 32767]"
-32444, "[-324; 32767]"
-32443, "[-325; 32767]"
-32442, "[-326; 32767]"
-32441, "[-327; 32767]"
-32440, "[-328; 32767]"
-32439, "[-329; 32767]"
-32438, "[-330; 32767]"
-32437, "[-331; 32767]"
-32436, "[-332; 32767]"
-32435, "[-333; 32767]"
-32434, "[-334; 32767]"
-32433, "[-335; 32767]"
-32432, "[-336; 32767]"
-32431, "[-337; 32767]"
-32430, "[-338; 32767]"
-32429, "[-339; 32767]"
-32428, "[-340; 32767]"
-32427, "[-341; 32767]"
-32426, "[-342; 32767]"
-32425, "[-343; 32767]"
-32424, "[-344; 32767]"
-32423, "[-345; 32767]"
-32422, "[-346; 32767]"
-32421, "[-347; 32767]"
-32420, "[-348; 32767]"
-32419, "[-349; 32767]"
-32418, "[-350; 32767]"
-32417, "[-351; 32767]"
-32416, "[-352; 32767]"
-32415, "[-353; 32767]"
-32414, "[-354; 32767]"
-32413, "[-355; 32767]"
-32412, "[-356; 32767]"
-32411, "[-357; 32767]"
-32410, "[-358; 32767]"
-32409, "[-359; 32767]"
-32408, "[-360; 32767]"
-32407, "[-361; 32767]"
-32406, "[-362; 32767]"
-32405, "[-363; 32767]"
-32404, "[-364; 32767]"
-32403, "[-365; 32767]"
-32402, "[-366; 32767]"
-32401, "[-367; 32767]"
-32400, "[-368; 32767]"
-32399, "[-369; 32767]"
-32398, "[-370; 32767]"
-32397, "[-371; 32767]"
-32396, "[-372; 32767]"
-32395, "[-373; 32767]"
